julianHr,MSky,MIllm,TIllm,tempc1,windmps1,rainmm1,vism1
430435,,,,-1.408096016993,-0.0671075577067316,-0.207084799658324,0.444662065706286
430436,,,,-1.25746165099448,1.02891631503558,-0.280611346664192,0.476989452568116
430437,,,,-1.23606516394712,1.07168537798102,-0.337745464839179,0.468863255541026
430438,,,,-1.38931168772732,0.818878592542031,-0.0815433260601174,-0.0131563289865793
430439,,,,-1.45799842642786,1.08122443317612,-0.138375219314624,0.0715613142282659
430440,,,,-1.59631046223826,0.921159199998647,-0.109378491000035,0.0579084940533923
430441,,,,-1.75053522736579,0.723448496572983,-0.285442130018305,0.451265770099908
430442,,,,-1.85728054243034,0.266534494394898,-0.261178296758724,0.406818497263748
430443,,,,-1.92055929192897,0.0815242502556791,-0.248173739849454,0.397388490481727
430444,,,,-2.04395569816927,-0.926777465690442,-0.117530178423287,0.146578887637062
430445,,,,-2.12500736439395,-0.850029329657999,-0.0568904571297253,0.00624669442083817
430446,,,,-2.15135644186918,-0.572537851334169,-0.136835477378547,0.192930147133326
430447,,,,-2.08633456028858,0.338625138369889,-0.276649255849306,0.460218341190186
430448,,,,-2.17027281820527,0.319828060199693,-0.203401520340585,0.258612400377553
430449,,,,-2.17853053537654,0.184670055120506,-0.204248120764739,0.277465654107222
430450,,,,-2.18657254878759,0.53745122948657,-0.233216143014605,0.323363529831795
430451,,,,-2.30909204850595,-0.112587620597885,-0.0538478109362907,-0.0779521341494224
430452,,,,-2.24965176284616,-0.207991349233581,-0.0619286249332331,-0.0261922264337248
430453,,,,-2.23911548599356,0.11310621536711,-0.172615078732174,0.211549413818896
430454,,,,-2.29061001102848,0.138542774922761,-0.268626210989277,0.449691733111511
430455,,,,-2.18175606179961,-0.592627476049891,-0.261140934350615,0.469132035233447
430456,,,,-1.94768006828649,-0.528848026995893,-0.266427368766061,0.50602705557703
430457,,,,-1.7413839498151,-1.47223840653613,-0.180910768607181,0.389965058866964
430458,,,,-1.48425771575535,-1.15495060925114,-0.221112882877278,0.437098114527098
430459,,,,-1.32848493445512,-1.20078254696507,-0.131481704713794,0.27075798882862
430460,,,,-1.3464496396664,-1.23134809577225,-0.215303844365444,0.440170077313002
430461,,,,-1.32442234133288,-1.401519394587,-0.231502966810338,0.462063993858808
430462,,,,-1.29974555106061,-1.53262670176222,-0.2029834251526,0.433099295547086
430463,,,,-1.36913395824414,-1.01119470063084,-0.0433713261491957,0.0274259217896005
430464,,,,-1.51648117331658,-1.16469246618754,-0.0329401217600851,0.00452227433218676
430465,,,,-1.63687439763801,-1.55969826547682,0.0778430556581623,-0.245139256281103
430466,,,,-1.6084410085158,-1.29310274255486,-0.0329604091996904,-0.495513053734405
430467,,,,-1.68124155487033,-1.20819113173659,-0.158063581771613,0.0244712763668858
430468,,,,-1.65660392839275,-1.17071771568369,0.687410278629159,-2.05108782926756
430469,,,,-1.6497468300035,-1.15532500758449,0.461385840008644,-1.32755472254168
430470,,,,-1.54703797318293,-0.932859405230509,0.20591385135258,-0.492185755648429
430471,,,,-1.59913526025573,-1.14777933756263,0.063199843734764,0.0336932550104174
430472,,,,-1.52816258100694,-1.55891983007748,0.321444083659968,-1.4472057609481
430473,,,,-1.52593102946557,-1.33810700375922,0.302035221851902,-1.07655955869497
430474,,,,-1.52385699376043,-0.819867107188287,0.230266261077612,-0.649100632186542
430475,,,,-1.63318094664372,-0.202469695457266,0.136243397175603,-0.423553692944205
430476,,,,-1.72744683960132,-1.09323623192741,0.736259109466882,-2.01293830929818
430477,,,,-1.64353138726987,-0.651412847048667,0.762199851316349,-1.77916849613863
430478,,,,-1.65943549742327,-0.642667144058693,-0.0380799312307529,-0.00372603288020572
430479,,,,-1.4159164347715,0.498309725718711,-0.118291309940949,0.0557692886590049
430480,,,,-1.19273596022801,-0.112075061536823,-0.199932386959457,0.310015085382195
430481,,,,-1.04289708911132,-0.293584796285539,-0.213371284767233,0.349060673471954
430482,,,,-1.00906972756925,-0.480958432770443,-0.212702047476871,0.378942256165953
430483,,,,-0.988161801250387,-0.890378806650981,-0.230867907274725,0.493461933365081
430484,,,,-0.983417814216962,-1.40307843928583,-0.1530549153406,0.364695457722335
430485,,,,-0.98696050673836,-1.37335863966785,0.153483128340292,-0.847191850597226
430486,,,,-0.934278845875128,-0.668522165326178,0.332156352838381,-1.44002377814359
430487,,,,-1.03047476119505,-1.16752099932391,0.118098740188234,-0.999632737005309
430488,,,,-1.14600094763728,-1.55214055168647,0.818937011911029,-2.18880604261486
430489,,,,-1.18375398575697,-1.47151325644998,0.760737127769914,-2.33649478728667
430490,,,,-1.20330857695453,-1.11374871256262,0.732094176267945,-1.84211605307725
430491,,,,-1.21485053652732,-1.25719618359816,1.33816335604687,-2.87330802906817
430492,,,,-1.14898413380972,-0.39774842826849,0.679940352376792,-1.3951454213084
430493,,,,-1.06675111456378,0.388841279349445,0.491953228263544,-0.942158739339661
430494,,,,-1.22768291363086,-0.0617675361563986,0.568918883655381,-1.32063262114449
430495,,,,-1.23290743302211,-0.303068730377893,0.228497174741403,-1.35222090429936
430496,,,,-1.25991886626892,-0.340889838891185,0.522926685613866,-1.97296456737828
430497,,,,-1.24216717367567,-0.439332819052669,0.642762007029099,-2.12296620921441
430498,,,,-1.24892363696109,-1.30705578965667,1.20234750864803,-3.31397963644164
430499,,,,-1.26892467884645,-1.48893072591063,1.39173723462993,-3.15253060868259
430500,,,,-1.19980692490859,-1.26687371160018,1.48851888348832,-3.14734143570956
430501,,,,-1.20060650489747,-1.07896804950127,1.32003370682843,-2.80605086459674
430502,,,,-1.1616138136107,-1.20924923520235,1.37483894802022,-3.00654921574511
430503,,,,-1.07945268291747,-1.03067449370572,1.39681981993441,-2.64222716169759
430504,,,,-0.800538976419827,-0.459087709780027,1.1733668769998,-2.70681682332528
